"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4634","connect test with POM","chromium","Wed Sep 17 13:09:32 IST 2025","passed","Wed Sep 17 13:09:36 IST 2025","","review.spec.js","",""
"","7922","User can log out successfully","chromium","Tue Sep 16 10:44:17 IST 2025","passed","Tue Sep 16 10:44:25 IST 2025",""," logout.spec.js","",""
"","9439","Scroll to Recommended Items and click Blue Top","chromium","Tue Sep 16 14:43:12 IST 2025","passed","Tue Sep 16 14:43:21 IST 2025","","recommendedItems.spec.js","",""
"","30260","User can add Blue Top from Recommended Items","chromium","Mon Sep 15 18:13:44 IST 2025","broken","Mon Sep 15 18:14:14 IST 2025","","recommendedItems.spec.js","",""
"","34598","User can navigate to Kookie Kids section","chromium","Fri Sep 19 12:45:57 IST 2025","passed","Fri Sep 19 12:46:32 IST 2025","","review.spec.js","",""
"","5873","Google search scroll","chromium","Mon Sep 15 12:43:17 IST 2025","passed","Mon Sep 15 12:43:23 IST 2025","","sample.spec.js","",""
"","30276","Add recommended items with price >= 1000 to cart","chromium","Sun Sep 21 21:15:51 IST 2025","passed","Sun Sep 21 21:16:21 IST 2025",""," recommendedItems.spec.js","",""
"","57011","User can log in successfully","chromium","Fri Sep 19 12:43:38 IST 2025","passed","Fri Sep 19 12:44:35 IST 2025","","login.spec.js","",""
"","30902","Verify user is logged in","chromium","Tue Sep 16 00:27:24 IST 2025","broken","Tue Sep 16 00:27:55 IST 2025","","login.spec.js","",""
